dia;hora_inicio;hora_fin;grupo;codigo
Jueves;07:00:00;12:00:00;13;19210018
Miércoles;07:00:00;12:00:00;16;19210020
Jueves;07:00:00;17:00:00;4;19210020
Miércoles;07:00:00;17:00:00;12;19210020
Jueves;12:30:00;18:00:00;16;19210018
Jueves;07:00:00;12:00:00;14;19210018
Viernes;07:00:00;12:00:00;4;19210018
Lunes;07:00:00;12:00:00;2;19210042
Jueves;07:00:00;11:30:00;2;19210096
Miércoles;07:00:00;17:00:00;15;19210020
Lunes;07:00:00;11:30:00;2;19210102
Martes;07:00:00;11:30:00;2;19610056
Lunes;07:00:00;12:00:00;6;19210020
Martes;13:30:00;15:00:00;2;19210011
Lunes;07:00:00;12:00:00;7;19210018
Miércoles;07:00:00;11:30:00;2;19410051
Jueves;07:00:00;17:00:00;5;19210018
Viernes;07:00:00;12:00:00;5;19210020
Martes;07:00:00;17:00:00;15;19210018
Jueves;15:30:00;17:30:00;3;19210008
Jueves;07:00:00;17:00:00;13;19210018
Viernes;07:00:00;12:00:00;16;19210018
Viernes;07:00:00;12:00:00;19;19210018
Miércoles;07:00:00;12:00:00;7;19210020
Jueves;07:00:00;08:30:00;1;19210012
Martes;07:00:00;17:00:00;3;19210020
Miércoles;07:00:00;12:00:00;6;19210020
Martes;07:00:00;12:00:00;7;19210018
Martes;07:00:00;12:00:00;13;19210018
Lunes;07:00:00;17:00:00;14;19210018
Lunes;07:00:00;12:00:00;10;19210020
Jueves;07:00:00;11:30:00;1;19410051
Viernes;07:00:00;11:30:00;1;19210099
Martes;07:00:00;17:00:00;16;19210018
Miércoles;12:30:00;18:00:00;12;19210018
Jueves;07:00:00;17:00:00;1;19210018
Miércoles;07:00:00;17:00:00;13;19210020
Martes;07:00:00;09:00:00;3;19210032
Miércoles;07:00:00;17:00:00;20;19210018
Miércoles;07:00:00;12:00:00;2;19210018
Martes;07:00:00;10:00:00;2;19210035
Jueves;07:00:00;12:00:00;22;19210018
Jueves;11:00:00;13:00:00;1;19210038
Miércoles;07:00:00;11:30:00;1;19410051
Martes;16:00:00;18:00:00;4;19210008
Miércoles;13:30:00;16:30:00;1;19210028
Miércoles;07:00:00;17:00:00;14;19210020
Lunes;07:00:00;12:00:00;3;19210020
Miércoles;11:00:00;13:00:00;4;19210006
Lunes;07:00:00;11:30:00;2;19210096
Martes;07:00:00;12:00:00;18;19210020
Jueves;07:00:00;08:30:00;1;19210007
Lunes;07:00:00;12:00:00;18;19210020
Martes;07:00:00;17:00:00;9;19210018
Martes;07:00:00;12:00:00;7;19210020
Lunes;07:00:00;17:00:00;1;19210018
Miércoles;07:00:00;17:00:00;4;19210018
Viernes;12:30:00;18:30:00;16;19210018
Lunes;07:00:00;12:00:00;19;19210018
Martes;07:00:00;12:00:00;11;19210020
Martes;13:30:00;15:30:00;1;19210044
Miércoles;07:00:00;12:00:00;4;19210020
Miércoles;07:00:00;12:00:00;5;19210020
Viernes;13:00:00;19:00:00;1;19210139
Sábado;08:00:00;11:00:00;2;19210029
Lunes;07:00:00;12:00:00;7;19210020
Martes;07:00:00;17:00:00;5;19210020
Martes;14:00:00;17:00:00;1;19210030
Lunes;07:00:00;17:00:00;9;19210018
Sábado;07:00:00;13:00:00;1;19210127
Miércoles;07:00:00;17:00:00;3;19210018
Martes;13:30:00;16:30:00;1;19210035
Jueves;07:00:00;12:00:00;7;19210018
Lunes;07:00:00;12:00:00;23;19210018
Viernes;07:00:00;12:00:00;18;19210020
Martes;12:30:00;18:00:00;3;19210018
Miércoles;07:00:00;09:00:00;1;19210027
Martes;12:30:00;18:00:00;10;19210018
Jueves;18:00:00;20:00:00;1;19210041
Jueves;07:00:00;12:00:00;14;19210020
Lunes;15:30:00;17:30:00;1;19210095
Viernes;07:00:00;12:00:00;17;19210018
Lunes;07:00:00;17:00:00;20;19210018
Jueves;13:30:00;15:30:00;3;19210003
Miércoles;07:00:00;12:00:00;15;19210020
Jueves;07:00:00;17:00:00;23;19210018
Lunes;07:00:00;17:00:00;15;19210020
Martes;07:00:00;11:30:00;2;19210052
Lunes;07:00:00;12:00:00;20;19210018
Miércoles;07:00:00;17:00:00;7;19210020
Miércoles;07:00:00;17:00:00;1;19210020
Miércoles;07:00:00;12:00:00;15;19210018
Lunes;07:00:00;09:00:00;2;19210039
Miércoles;11:00:00;13:00:00;2;19210006
Jueves;07:00:00;12:00:00;4;19210020
Lunes;07:00:00;09:00:00;1;19210054
Jueves;09:00:00;11:00:00;2;19210026
Jueves;15:30:00;17:30:00;1;19210113
Viernes;07:00:00;11:30:00;2;19210096
Lunes;07:00:00;17:00:00;17;19210020
Lunes;07:00:00;17:00:00;23;19210018
Jueves;09:00:00;10:30:00;3;19210012
Lunes;07:00:00;17:00:00;2;19210018
Jueves;07:00:00;17:00:00;10;19210018
Viernes;13:00:00;15:00:00;1;19210004
Martes;07:00:00;17:00:00;19;19210018
Lunes;07:00:00;17:00:00;10;19210018
Jueves;07:00:00;17:00:00;8;19210018
Miércoles;07:00:00;17:00:00;19;19210018
Miércoles;07:00:00;11:30:00;1;19210096
Jueves;07:00:00;12:00:00;8;19210020
Miércoles;07:00:00;17:00:00;8;19210018
Miércoles;07:00:00;17:00:00;24;19210018
Miércoles;07:00:00;17:00:00;23;19210018
